# doc = расшифровка_Роман.2.txt,,,,,,,,,,,,,,,,
# speaker = Роман,,,,,,,,,,,,,,,,
# sent = 2810,,,,,,,,,,,,,,,,
">																
	скучно	СКУЧНО	ADV -			 скушна  _скучно_  , сидел	о	н	ч	у	к	с	ADV	СКУЧНО	ADV -	О
</distinct>																
	,	,	PUNCT										PUNCT			
	сидел	СИДЕТЬ	V ipf act praet sg indic m -			скучно  , _сидел_ в телефончике ,	л	е	д	и	с		V	СИДЕТЬ	V ipf praet sg indic m -	Ь
	в	В	PR			 , сидел _в_ телефончике , стоял	в						PR	В	PR	В
	телефончике	ТЕЛЕФОНЧИК	S m inan loc sg			, сидел в _телефончике_ , стоял ,	е	к	и	ч	н	о	S	ТЕЛЕФОНЧИК	S m inan loc sg	К
	,	,	PUNCT										PUNCT			
	стоял	СТОЯТЬ	V ipf act praet sg indic m -			в телефончике , _стоял_ , точнее ,	л	я	о	т	с		V	СТОЯТЬ	V ipf praet sg indic m -	Ь
	,	,	PUNCT										PUNCT			
	точнее	ТОЧНО	ADV comp			, стоял , _точнее_ , в телефончике	е	е	н	ч	о	т	ADV	ТОЧНО	ADV comp	О
	,	,	PUNCT										PUNCT			
	в	В	PR			, точнее , _в_ телефончике и ...	в						PR	В	PR	В
	телефончике	ТЕЛЕФОНЧИК	S m inan loc sg			точнее , в _телефончике_ и ... ну	е	к	и	ч	н	о	S	ТЕЛЕФОНЧИК	S m inan loc sg	К
	и	И	CONJ			, в телефончике _и_ ... ну ,	и						CONJ	И	CONJ	И
	...	...	PUNCT										PUNCT			
	ну	НУ	PART			телефончике и ... _ну_ , о жизни	у	н					PART	НУ	PART	У
	,	,	PUNCT										PUNCT			
	о	О	PR			... ну , _о_ жизни думал наверно	о						PR	О	PR	О
	жизни	ЖИЗНЬ	S f inan loc sg			ну , о _жизни_ думал наверно .	и	н	з	и	ж		S	ЖИЗНЬ	S f inan loc sg	Ь
	думал	ДУМАТЬ	V ipf act praet sg indic m -			, о жизни _думал_ наверно . 	л	а	м	у	д		V	ДУМАТЬ	V ipf praet sg indic m -	Ь
	наверно	НАВЕРНО	PRAEDIC			о жизни думал _наверно_ .  	о	н	р	е	в	а	ADV	НАВЕРНО	ADV -	О
	.	.	PUNCT										PUNCT			
																
# sent = 2817																
	Потом	ПОТОМ	ADV -			.   _Потом_ группа  Градусы",м,о,т,о,п,,ADV,ПОТОМ,ADV -,М,,,,,,
,группа,ГРУППА,S f inan nom sg,,,"Потом _группа_ "" Градусы """,а,п,п,у,р,г,S,ГРУППА,S f inan nom sg,А
,	,PUNCT,,,,,,,,,,PUNCT,,,,
,Градусы,ГРАДУС,S m inan nom pl,,,"Потом группа "" _Градусы_ "" ушла ,",ы,с,у,д,а,р,S,ГРАДУС,S m inan acc pl,С
,	,PUNCT,,,,,,,,,,PUNCT,,,,
,ушла,УЙТИ,V pf act praet sg indic f -,,," Градусы  _ушла_ , я выдохнул",а,л,ш,у,,,V,УЙТИ,V pf praet sg indic f -,И
,",",",",PUNCT,,,,,,,,,,PUNCT,,,
,я,Я,SPRO sg 1p - nom,,," ушла , _я_ выдохнул с облегчением	я						SPRO	Я	SPRO sg 1p - nom	Я
	выдохнул	ВЫДОХНУТЬ	V pf act praet sg indic m -			ушла , я _выдохнул_ с облегчением 	л	у	н	х	о	д	V	ВЫДОХНУТЬ	V pf praet sg indic m -	Ь
	с	С	PR			, я выдохнул _с_ облегчением  смотрит куда-то в сорону	с						PR	С	PR	С
	облегчением	ОБЛЕГЧЕНИЕ	S n inan ins sg			я выдохнул с _облегчением_  смотрит куда-то в сорону 	м	е	и	н	е	ч	S	ОБЛЕГЧЕНИЕ	S n inan ins sg	Е
<span class=note"">",,,,,,,,,,
<note>,смотрит куда-то в сорону,,,,,,,,,,,,,,,
</span>,,,,,,,,,,,,,,,,
,.,.,PUNCT,,,,,,,,,,PUNCT,,,
,,,,,,,,,,,,,,,,
